"region","year","input_group","total_adjusted_value"
"AS",2065,"H2 enduse",0.3496363677
"AS",2065,"biomass",7.068919643e-05
"AS",2065,"coal",0.0028830985775
"AS",2065,"electricity",0.560851622343984
"AS",2065,"gas",0.015182248452872
"AS",2065,"refined liquids",0.00513152809546391
"AS",2070,"H2 enduse",0.37923420058
"AS",2070,"biomass",1.28297e-06
"AS",2070,"coal",8.41314e-05
"AS",2070,"electricity",0.629069548158364
"AS",2070,"gas",0.007209534760366
"AS",2070,"refined liquids",0.002926836371122
"BR",2020,"H2 enduse",0.001263118181
"BR",2020,"biomass",0.144104381443299
"BR",2020,"coal",0.00677148648648649
"BR",2020,"electricity",0.0709489621489622
"BR",2020,"gas",0
"BR",2020,"refined liquids",0.163011543487349
"BR",2025,"H2 enduse",0.005662234655
"BR",2025,"biomass",0.129737563989969
"BR",2025,"coal",0.0296053546564865
"BR",2025,"electricity",0.243343671812089
"BR",2025,"gas",0.011195089101
"BR",2025,"refined liquids",0.230588803731744
"BR",2030,"H2 enduse",0.009467637992
"BR",2030,"biomass",0.135135982314639
"BR",2030,"coal",0.0173345553264865
"BR",2030,"electricity",0.277105953602413
"BR",2030,"gas",0.040696741063
"BR",2030,"refined liquids",0.269577344035378
"BR",2035,"H2 enduse",0.01436823389
"BR",2035,"biomass",0.141762559584309
"BR",2035,"coal",0.0202940452664865
"BR",2035,"electricity",0.301979806641183
"BR",2035,"gas",0.0674121908382
"BR",2035,"refined liquids",0.300853598453827
"BR",2040,"H2 enduse",0.02030190443
"BR",2040,"biomass",0.148504393785979
"BR",2040,"coal",0.0232821461564865
"BR",2040,"electricity",0.346117632489043
"BR",2040,"gas",0.10235269671402
"BR",2040,"refined liquids",0.306328956191276
"BR",2045,"H2 enduse",0.0273201359
"BR",2045,"biomass",0.155176259216649
"BR",2045,"coal",0.0261139228564865
"BR",2045,"electricity",0.343547305438543
"BR",2045,"gas",0.121005828727
"BR",2045,"refined liquids",0.311541508005007
"BR",2050,"H2 enduse",0.03517943833
"BR",2050,"biomass",0.102688436068
"BR",2050,"coal",0.0284586616464865
"BR",2050,"electricity",0.477881404504043
"BR",2050,"gas",0.111820873087
"BR",2050,"refined liquids",0.316746793375997
"BR",2055,"H2 enduse",0.06027473131
"BR",2055,"biomass",0.1759732215236
"BR",2055,"coal",0.0214313278288
"BR",2055,"electricity",0.655434703671143
"BR",2055,"gas",0.07165919863519
"BR",2055,"refined liquids",0.26062641447113
"BR",2060,"H2 enduse",0.15956445867
"BR",2060,"biomass",0.09812816259851
"BR",2060,"coal",0.0126321628499
"BR",2060,"electricity",0.808364815788143
"BR",2060,"gas",0.036414055924869
"BR",2060,"refined liquids",0.192701708272854
"BR",2065,"H2 enduse",0.32975304907
"BR",2065,"biomass",8.3177557434e-05
"BR",2065,"coal",0.003061675794232
"BR",2065,"electricity",0.956585450640143
"BR",2065,"gas",0.017125178117494
"BR",2065,"refined liquids",0.0805922609313684
"BR",2070,"H2 enduse",0.35721399801
"BR",2070,"biomass",1.35598e-06
"BR",2070,"coal",8.91877e-05
"BR",2070,"electricity",1.05599796593551
